,mZD,Gamma_ZD/(epsilon^2 GeV),Br(ZD->ll)/epsilon^2,Br(h->ZDZ^(*)->4l)/epsilon^2,Br(h->ZDZD->4l)/kappaprime^2,,,,,,,,,,,,,,,,,,,,
,1.01668,0.0566,0.0936,3.80E-06,10.38858397,,,,,,,,,,,,,,,,,,,,
,1.01673,0.0574,0.0922,3.75E-06,10.08247897,,,,,,,,,,,,,,,,,,,,
,1.01678,0.0582,0.091,3.70E-06,9.807465576,,,,,,,,,,,,,,,,,,,,
,1.01685,0.0594,0.0892,3.63E-06,9.435101253,,,,,,,,,,,,,,,,,,,,
,1.01694,0.0613,0.0864,3.51E-06,8.848902061,,,,,,,,,,,,,,,,,,,,
,1.017,0.0622,0.0852,3.46E-06,8.600728595,,,,,,,,,,,,,,,,,,,,
,1.01709,0.0645,0.0821,3.34E-06,7.985309104,,,,,,,,,,,,,,,,,,,,
,1.0171,0.065,0.0816,3.32E-06,7.882114527,,,,,,,,,,,,,,,,,,,,
,1.01716,0.0675,0.0785,3.19E-06,7.302907934,,,,,,,,,,,,,,,,,,,,
,1.01726,0.0716,0.074,3.01E-06,6.495273586,,,,,,,,,,,,,,,,,,,,
,1.01759,0.0827,0.0641,2.61E-06,4.869014303,,,,,,,,,,,,,,,,,,,,
,1.01765,0.0854,0.0621,2.53E-06,4.56968447,,,,,,,,,,,,,,,,,,,,
,1.01766,0.0858,0.0618,2.52E-06,4.526488309,,,,,,,,,,,,,,,,,,,,
,1.01772,0.0882,0.0601,2.45E-06,4.279748277,,,,,,,,,,,,,,,,,,,,
,1.01782,0.0918,0.0578,2.35E-06,3.954228692,,,,,,,,,,,,,,,,,,,,
,1.01798,0.0976,0.0543,2.21E-06,3.499706216,,,,,,,,,,,,,,,,,,,,
,1.018,0.0985,0.0538,2.19E-06,3.432266196,,,,,,,,,,,,,,,,,,,,
,1.0181,0.103,0.0516,2.10E-06,3.153566285,,,,,,,,,,,,,,,,,,,,
,1.01814,0.104,0.0507,2.07E-06,3.051519487,,,,,,,,,,,,,,,,,,,,
,1.01821,0.109,0.0486,1.98E-06,2.795810544,,,,,,,,,,,,,,,,,,,,
,1.01828,0.114,0.0466,1.90E-06,2.571734662,,,,,,,,,,,,,,,,,,,,
,1.01832,0.117,0.0454,1.85E-06,2.442969853,,,,,,,,,,,,,,,,,,,,
,1.01848,0.12,0.0443,1.80E-06,2.32284577,,,,,,,,,,,,,,,,,,,,
,1.01862,0.123,0.0433,1.76E-06,2.219512444,,,,,,,,,,,,,,,,,,,,
,1.01864,0.123,0.0432,1.76E-06,2.2073169,,,,,,,,,,,,,,,,,,,,
,1.01868,0.124,0.0429,1.75E-06,2.183203885,,,,,,,,,,,,,,,,,,,,
,1.01878,0.125,0.0424,1.73E-06,2.125297456,,,,,,,,,,,,,,,,,,,,
,1.01881,0.125,0.0426,1.74E-06,2.150074166,,,,,,,,,,,,,,,,,,,,
,1.01887,0.128,0.0413,1.69E-06,2.024759384,,,,,,,,,,,,,,,,,,,,
,1.01896,0.132,0.0402,1.64E-06,1.915727136,,,,,,,,,,,,,,,,,,,,
,1.019,0.135,0.0394,1.61E-06,1.838416713,,,,,,,,,,,,,,,,,,,,
,1.01907,0.142,0.0375,1.53E-06,1.665901788,,,,,,,,,,,,,,,,,,,,
,1.0191,0.141,0.0376,1.53E-06,1.673384623,,,,,,,,,,,,,,,,,,,,
,1.01914,0.141,0.0377,1.54E-06,1.683439995,,,,,,,,,,,,,,,,,,,,
,1.01921,0.138,0.0385,1.57E-06,1.754071464,,,,,,,,,,,,,,,,,,,,
,1.01925,0.137,0.0387,1.58E-06,1.774126915,,,,,,,,,,,,,,,,,,,,
,1.01944,0.133,0.0398,1.63E-06,1.878406134,,,,,,,,,,,,,,,,,,,,
,1.01951,0.134,0.0395,1.61E-06,1.848278759,,,,,,,,,,,,,,,,,,,,
,1.01962,0.132,0.0404,1.65E-06,1.932461544,,,,,,,,,,,,,,,,,,,,
,1.01964,0.131,0.0406,1.66E-06,1.948393445,,,,,,,,,,,,,,,,,,,,
,1.01968,0.129,0.0411,1.68E-06,1.997036838,,,,,,,,,,,,,,,,,,,,
,1.01969,0.129,0.0411,1.68E-06,1.998023494,,,,,,,,,,,,,,,,,,,,
,1.01979,0.129,0.0411,1.68E-06,2.006049584,,,,,,,,,,,,,,,,,,,,
,1.02,0.125,0.0426,1.74E-06,2.152342022,,,,,,,,,,,,,,,,,,,,
,1.02006,0.124,0.0429,1.75E-06,2.18037446,,,,,,,,,,,,,,,,,,,,
,1.02013,0.123,0.0433,1.77E-06,2.216494075,,,,,,,,,,,,,,,,,,,,
,1.02043,0.11,0.0485,1.99E-06,2.789420915,,,,,,,,,,,,,,,,,,,,
,1.02058,0.108,0.0491,2.01E-06,2.860701103,,,,,,,,,,,,,,,,,,,,
,1.0206,0.108,0.0492,2.01E-06,2.869858265,,,,,,,,,,,,,,,,,,,,
,1.02065,0.1,0.0531,2.17E-06,3.334904842,,,,,,,,,,,,,,,,,,,,
,1.02076,0.0948,0.0561,2.30E-06,3.726209844,,,,,,,,,,,,,,,,,,,,
,1.02086,0.0907,0.0586,2.40E-06,4.075641336,,,,,,,,,,,,,,,,,,,,
,1.02096,0.0934,0.0569,2.33E-06,3.839001403,,,,,,,,,,,,,,,,,,,,
,1.021,0.0923,0.0576,2.36E-06,3.936751374,,,,,,,,,,,,,,,,,,,,
,1.02102,0.0914,0.0582,2.38E-06,4.013207478,,,,,,,,,,,,,,,,,,,,
,1.02141,0.0741,0.0718,2.94E-06,6.103753763,,,,,,,,,,,,,,,,,,,,
,1.0215,0.072,0.0739,3.03E-06,6.463944183,,,,,,,,,,,,,,,,,,,,
,1.02151,0.0718,0.0741,3.04E-06,6.505922938,,,,,,,,,,,,,,,,,,,,
,1.02154,0.0711,0.0748,3.07E-06,6.630422234,,,,,,,,,,,,,,,,,,,,
,1.02168,0.0644,0.0826,3.39E-06,8.084636453,,,,,,,,,,,,,,,,,,,,
,1.02182,0.0613,0.0868,3.56E-06,8.928963815,,,,,,,,,,,,,,,,,,,,
,1.02185,0.0606,0.0878,3.60E-06,9.127193198,,,,,,,,,,,,,,,,,,,,
,1.0219,0.0594,0.0896,3.68E-06,9.506258655,,,,,,,,,,,,,,,,,,,,
,1.022,0.057,0.0934,3.83E-06,10.33929624,,,,,,,,,,,,,,,,,,,,
,1.02207,0.0553,0.0963,3.95E-06,10.98973313,,,,,,,,,,,,,,,,,,,,
,1.02223,0.051,0.104,4.29E-06,12.90708681,,,,,,,,,,,,,,,,,,,,
,1.02232,0.0483,0.11,4.53E-06,14.41557168,,,,,,,,,,,,,,,,,,,,
,1.02246,0.0466,0.114,4.69E-06,15.45514085,,,,,,,,,,,,,,,,,,,,
,1.02267,0.0442,0.121,4.96E-06,17.23535604,,,,,,,,,,,,,,,,,,,,
,1.0227,0.0438,0.122,4.99E-06,17.49357202,,,,,,,,,,,,,,,,,,,,
,1.02274,0.0434,0.123,5.05E-06,17.84659825,,,,,,,,,,,,,,,,,,,,
,1.023,0.0408,0.13,5.37E-06,20.1758312,,,,,,,,,,,,,,,,,,,,
,1.02325,0.0384,0.139,5.70E-06,22.76926864,,,,,,,,,,,,,,,,,,,,
,1.02327,0.0382,0.139,5.74E-06,23.01587376,,,,,,,,,,,,,,,,,,,,
,1.02397,0.034,0.157,6.46E-06,29.11254,,,,,,,,,,,,,,,,,,,,
,1.02535,0.0273,0.195,8.07E-06,45.23998637,,,,,,,,,,,,,,,,,,,,
,1.02752,0.0177,0.302,0.0000125,108.0424901,,,,,,,,,,,,,,,,,,,,
,1.0277,0.0176,0.305,0.0000127,110.1514528,,,,,,,,,,,,,,,,,,,,
,1.02774,0.0176,0.304,0.0000126,109.5867092,,,,,,,,,,,,,,,,,,,,
,1.0278,0.0177,0.303,0.0000126,108.7473732,,,,,,,,,,,,,,,,,,,,
,1.028,0.0179,0.299,0.0000124,105.7210938,,,,,,,,,,,,,,,,,,,,
,1.02812,0.0171,0.313,0.000013,116.1854276,,,,,,,,,,,,,,,,,,,,
,1.02823,0.0163,0.328,0.0000136,127.1955357,,,,,,,,,,,,,,,,,,,,
,1.02841,0.0161,0.332,0.0000138,130.7324918,,,,,,,,,,,,,,,,,,,,
,1.0292,0.0154,0.347,0.0000145,143.0162994,,,,,,,,,,,,,,,,,,,,
,1.03358,0.0119,0.454,0.0000191,244.4129829,,,,,,,,,,,,,,,,,,,,
,1.0337,0.0117,0.459,0.0000193,249.9594758,,,,,,,,,,,,,,,,,,,,
,1.03372,0.0117,0.46,0.0000193,250.8931801,,,,,,,,,,,,,,,,,,,,
,1.03384,0.0116,0.465,0.0000195,256.6056716,,,,,,,,,,,,,,,,,,,,
,1.03386,0.0116,0.465,0.0000195,256.0393798,,,,,,,,,,,,,,,,,,,,
,1.034,0.0117,0.461,0.0000194,252.1273085,,,,,,,,,,,,,,,,,,,,
,1.03406,0.0117,0.46,0.0000193,250.4965311,,,,,,,,,,,,,,,,,,,,
,1.0375,0.0107,0.505,0.0000214,302.0755357,,,,,,,,,,,,,,,,,,,,
,1.03916,0.0102,0.53,0.0000225,332.7918389,,,,,,,,,,,,,,,,,,,,
,1.0393,0.0102,0.532,0.0000226,335.5997067,,,,,,,,,,,,,,,,,,,,
,1.03959,0.0101,0.537,0.0000228,341.4348901,,,,,,,,,,,,,,,,,,,,
,1.0396,0.0101,0.537,0.0000228,342.1600282,,,,,,,,,,,,,,,,,,,,
,1.03964,0.01,0.54,0.0000229,345.0689067,,,,,,,,,,,,,,,,,,,,
,1.0398,0.01,0.541,0.000023,346.1665288,,,,,,,,,,,,,,,,,,,,
,1.04,0.01,0.542,0.000023,347.551584,,,,,,,,,,,,,,,,,,,,
,1.044,0.00962,0.566,0.0000242,378.9355989,,,,,,,,,,,,,,,,,,,,
,1.046,0.00942,0.578,0.0000249,396.232533,,,,,,,,,,,,,,,,,,,,
,1.047,0.00925,0.59,0.0000254,412.0891043,,,,,,,,,,,,,,,,,,,,
,1.0496,0.00901,0.607,0.0000263,435.9022419,,,,,,,,,,,,,,,,,,,,
,1.0497,0.00899,0.608,0.0000263,438.0464695,,,,,,,,,,,,,,,,,,,,
,1.04981,0.00897,0.61,0.0000264,440.4212966,,,,,,,,,,,,,,,,,,,,
,1.05,0.00904,0.605,0.0000262,433.9156281,,,,,,,,,,,,,,,,,,,,
,1.053,0.00871,0.63,0.0000275,470.4098136,,,,,,,,,,,,,,,,,,,,
,1.058,0.00888,0.621,0.0000273,456.7865119,,,,,,,,,,,,,,,,,,,,
,1.05952,0.00857,0.644,0.0000284,491.4083819,,,,,,,,,,,,,,,,,,,,
,1.05966,0.00856,0.645,0.0000285,492.8642675,,,,,,,,,,,,,,,,,,,,
,1.06,0.00862,0.64,0.0000283,485.7425062,,,,,,,,,,,,,,,,,,,,
,1.061,0.00859,0.643,0.0000285,490.5302547,,,,,,,,,,,,,,,,,,,,
,1.0625,0.00855,0.647,0.0000287,496.0081146,,,,,,,,,,,,,,,,,,,,
,1.065,0.00854,0.65,0.000029,499.9832799,,,,,,,,,,,,,,,,,,,,
,1.067,0.00851,0.653,0.0000292,505.4491391,,,,,,,,,,,,,,,,,,,,
,1.068,0.00857,0.649,0.0000291,498.8105506,,,,,,,,,,,,,,,,,,,,
,1.07,0.00872,0.639,0.0000288,484.0270839,,,,,,,,,,,,,,,,,,,,
,1.076,0.00891,0.629,0.0000286,468.6016981,,,,,,,,,,,,,,,,,,,,
,1.077,0.00883,0.635,0.000029,477.9853362,,,,,,,,,,,,,,,,,,,,
,1.08,0.00867,0.649,0.0000297,498.6037144,,,,,,,,,,,,,,,,,,,,
,1.083,0.00851,0.663,0.0000306,520.5648554,,,,,,,,,,,,,,,,,,,,
,1.086,0.00835,0.678,0.0000314,544.2049832,,,,,,,,,,,,,,,,,,,,
,1.087,0.00833,0.679,0.0000316,546.948615,,,,,,,,,,,,,,,,,,,,
,1.0875,0.00836,0.677,0.0000315,543.5642393,,,,,,,,,,,,,,,,,,,,
,1.088,0.00839,0.675,0.0000314,540.3936098,,,,,,,,,,,,,,,,,,,,
,1.09,0.00848,0.67,0.0000313,531.8473794,,,,,,,,,,,,,,,,,,,,
,1.095,0.00839,0.68,0.000032,547.5794796,,,,,,,,,,,,,,,,,,,,
,1.096,0.00837,0.682,0.0000322,550.8103312,,,,,,,,,,,,,,,,,,,,
,1.097,0.00849,0.673,0.0000318,536.3748546,,,,,,,,,,,,,,,,,,,,
,1.098,0.00856,0.668,0.0000317,529.4098074,,,,,,,,,,,,,,,,,,,,
,1.1,0.00831,0.69,0.0000328,563.3241109,,,,,,,,,,,,,,,,,,,,
,1.103,0.00837,0.686,0.0000328,557.8991221,,,,,,,,,,,,,,,,,,,,
,1.106,0.00845,0.682,0.0000328,550.6964423,,,,,,,,,,,,,,,,,,,,
,1.107,0.00847,0.681,0.0000328,549.8079382,,,,,,,,,,,,,,,,,,,,
,1.11,0.00835,0.693,0.0000336,568.6428347,,,,,,,,,,,,,,,,,,,,
,1.111,0.00825,0.702,0.000034,583.2055262,,,,,,,,,,,,,,,,,,,,
,1.1125,0.00823,0.704,0.0000343,587.5923553,,,,,,,,,,,,,,,,,,,,
,1.117,0.00826,0.705,0.0000346,588.5297569,,,,,,,,,,,,,,,,,,,,
,1.12,0.00838,0.696,0.0000343,574.3567014,,,,,,,,,,,,,,,,,,,,
,1.123,0.00835,0.701,0.0000347,582.0356556,,,,,,,,,,,,,,,,,,,,
,1.127,0.0083,0.708,0.0000353,593.579074,,,,,,,,,,,,,,,,,,,,
,1.129,0.00837,0.703,0.0000352,585.0469001,,,,,,,,,,,,,,,,,,,,
,1.13,0.0086,0.685,0.0000344,555.6640798,,,,,,,,,,,,,,,,,,,,
,1.137,0.00854,0.694,0.0000352,569.8000631,,,,,,,,,,,,,,,,,,,,
,1.1375,0.00856,0.692,0.0000352,567.3580314,,,,,,,,,,,,,,,,,,,,
,1.14,0.00865,0.687,0.0000351,559.1831165,,,,,,,,,,,,,,,,,,,,
,1.142,0.00864,0.688,0.0000353,561.3679673,,,,,,,,,,,,,,,,,,,,
,1.143,0.00864,0.689,0.0000354,562.6764706,,,,,,,,,,,,,,,,,,,,
,1.148,0.0087,0.688,0.0000356,560.1418344,,,,,,,,,,,,,,,,,,,,
,1.15,0.00868,0.691,0.0000359,565.0696434,,,,,,,,,,,,,,,,,,,,
,1.152,0.00868,0.692,0.0000361,566.71638,,,,,,,,,,,,,,,,,,,,
,1.16,0.00887,0.681,0.000036,549.4373071,,,,,,,,,,,,,,,,,,,,
,1.1625,0.00873,0.694,0.0000369,570.7602223,,,,,,,,,,,,,,,,,,,,
,1.163,0.0087,0.696,0.000037,574.2025487,,,,,,,,,,,,,,,,,,,,
,1.164,0.00865,0.701,0.0000373,581.8902251,,,,,,,,,,,,,,,,,,,,
,1.167,0.00869,0.699,0.0000374,579.4593743,,,,,,,,,,,,,,,,,,,,
,1.17,0.009,0.677,0.0000364,542.9662025,,,,,,,,,,,,,,,,,,,,
,1.171,0.00907,0.673,0.0000363,536.6155523,,,,,,,,,,,,,,,,,,,,
,1.177,0.00904,0.678,0.0000369,545.2451469,,,,,,,,,,,,,,,,,,,,
,1.18,0.00902,0.681,0.0000373,550.0896029,,,,,,,,,,,,,,,,,,,,
,1.183,0.009,0.685,0.0000377,555.1470793,,,,,,,,,,,,,,,,,,,,
,1.186,0.00897,0.689,0.0000381,562.0086235,,,,,,,,,,,,,,,,,,,,
,1.187,0.00899,0.688,0.0000381,560.2437871,,,,,,,,,,,,,,,,,,,,
,1.1875,0.00897,0.69,0.0000382,563.4513603,,,,,,,,,,,,,,,,,,,,
,1.188,0.00895,0.692,0.0000384,566.7335949,,,,,,,,,,,,,,,,,,,,
,1.19,0.00888,0.698,0.0000389,577.3583441,,,,,,,,,,,,,,,,,,,,
,1.197,0.00913,0.683,0.0000385,553.0777199,,,,,,,,,,,,,,,,,,,,
,1.2,0.00919,0.681,0.0000385,548.6526553,,,,,,,,,,,,,,,,,,,,
,1.202,0.00922,0.679,0.0000386,546.1335182,,,,,,,,,,,,,,,,,,,,
,1.204,0.00921,0.681,0.0000388,550.1115327,,,,,,,,,,,,,,,,,,,,
,1.205,0.00925,0.679,0.0000388,546.3113921,,,,,,,,,,,,,,,,,,,,
,1.207,0.00938,0.671,0.0000384,532.6497381,,,,,,,,,,,,,,,,,,,,
,1.21,0.00943,0.669,0.0000385,529.828505,,,,,,,,,,,,,,,,,,,,
,1.2114,0.00936,0.674,0.0000389,538.864323,,,,,,,,,,,,,,,,,,,,
,1.2125,0.00927,0.681,0.0000394,549.8636759,,,,,,,,,,,,,,,,,,,,
,1.214,0.00919,0.688,0.0000399,561.47374,,,,,,,,,,,,,,,,,,,,
,1.217,0.00913,0.695,0.0000404,571.5886828,,,,,,,,,,,,,,,,,,,,
,1.22,0.00948,0.671,0.0000392,532.8702281,,,,,,,,,,,,,,,,,,,,
,1.224,0.0094,0.678,0.00004,545.0581339,,,,,,,,,,,,,,,,,,,,
,1.225,0.00938,0.68,0.0000401,548.1695163,,,,,,,,,,,,,,,,,,,,
,1.226,0.00938,0.681,0.0000402,549.2374299,,,,,,,,,,,,,,,,,,,,
,1.227,0.00938,0.682,0.0000403,550.4547731,,,,,,,,,,,,,,,,,,,,
,1.23,0.00968,0.662,0.0000394,519.1483644,,,,,,,,,,,,,,,,,,,,
,1.232,0.00964,0.666,0.0000397,525.5789267,,,,,,,,,,,,,,,,,,,,
,1.237,0.00996,0.647,0.0000389,496.0844506,,,,,,,,,,,,,,,,,,,,
,1.2375,0.00997,0.647,0.0000389,495.6673144,,,,,,,,,,,,,,,,,,,,
,1.24,0.00987,0.654,0.0000396,507.4240795,,,,,,,,,,,,,,,,,,,,
,1.246,0.00973,0.667,0.0000407,527.4972574,,,,,,,,,,,,,,,,,,,,
,1.247,0.00976,0.666,0.0000407,525.4159473,,,,,,,,,,,,,,,,,,,,
,1.25,0.00994,0.655,0.0000402,508.3870967,,,,,,,,,,,,,,,,,,,,
,1.251,0.00995,0.655,0.0000403,508.8035042,,,,,,,,,,,,,,,,,,,,
,1.252,0.00995,0.656,0.0000404,509.1035901,,,,,,,,,,,,,,,,,,,,
,1.257,0.01,0.653,0.0000406,505.8279136,,,,,,,,,,,,,,,,,,,,
,1.26,0.01,0.656,0.000041,510.4566668,,,,,,,,,,,,,,,,,,,,
,1.2625,0.01,0.655,0.000041,508.2518671,,,,,,,,,,,,,,,,,,,,
,1.266,0.01,0.658,0.0000414,512.1553638,,,,,,,,,,,,,,,,,,,,
,1.267,0.0101,0.655,0.0000413,508.3775996,,,,,,,,,,,,,,,,,,,,
,1.27,0.0104,0.639,0.0000405,484.2563608,,,,,,,,,,,,,,,,,,,,
,1.273,0.0101,0.658,0.0000419,512.4303184,,,,,,,,,,,,,,,,,,,,
,1.275,0.0101,0.659,0.0000421,514.5869614,,,,,,,,,,,,,,,,,,,,
,1.277,0.0101,0.66,0.0000423,516.781138,,,,,,,,,,,,,,,,,,,,
,1.28,0.0104,0.639,0.0000412,483.9542541,,,,,,,,,,,,,,,,,,,,
,1.285,0.0103,0.649,0.0000421,498.5121685,,,,,,,,,,,,,,,,,,,,
,1.286,0.0103,0.651,0.0000423,501.4516041,,,,,,,,,,,,,,,,,,,,
,1.287,0.0103,0.65,0.0000423,500.1586549,,,,,,,,,,,,,,,,,,,,
,1.2875,0.0103,0.649,0.0000423,498.3467536,,,,,,,,,,,,,,,,,,,,
,1.29,0.0105,0.64,0.0000419,485.9286566,,,,,,,,,,,,,,,,,,,,
,1.292,0.0103,0.655,0.000043,507.7370742,,,,,,,,,,,,,,,,,,,,
,1.296,0.0106,0.64,0.0000423,484.9050301,,,,,,,,,,,,,,,,,,,,
,1.297,0.0106,0.636,0.0000421,479.4902709,,,,,,,,,,,,,,,,,,,,
,1.3,0.0108,0.624,0.0000415,461.8035158,,,,,,,,,,,,,,,,,,,,
,1.304,0.0108,0.627,0.0000419,465.673242,,,,,,,,,,,,,,,,,,,,
,1.305,0.0108,0.628,0.000042,466.7112508,,,,,,,,,,,,,,,,,,,,
,1.307,0.0109,0.627,0.0000421,466.303854,,,,,,,,,,,,,,,,,,,,
,1.31,0.0109,0.628,0.0000424,466.8302177,,,,,,,,,,,,,,,,,,,,
,1.3125,0.0109,0.626,0.0000424,464.2758493,,,,,,,,,,,,,,,,,,,,
,1.314,0.0109,0.629,0.0000427,468.5248389,,,,,,,,,,,,,,,,,,,,
,1.317,0.0111,0.62,0.0000423,454.6154339,,,,,,,,,,,,,,,,,,,,
,1.32,0.0111,0.618,0.0000423,452.1408072,,,,,,,,,,,,,,,,,,,,
,1.325,0.011,0.63,0.0000435,469.6733958,,,,,,,,,,,,,,,,,,,,
,1.326,0.0109,0.632,0.0000437,473.1944559,,,,,,,,,,,,,,,,,,,,
,1.327,0.0109,0.634,0.0000439,476.8036599,,,,,,,,,,,,,,,,,,,,
,1.33,0.0112,0.618,0.000043,452.4709053,,,,,,,,,,,,,,,,,,,,
,1.335,0.0114,0.609,0.0000427,439.912504,,,,,,,,,,,,,,,,,,,,
,1.337,0.0115,0.606,0.0000426,434.7463031,,,,,,,,,,,,,,,,,,,,
,1.3375,0.0115,0.606,0.0000426,435.0597658,,,,,,,,,,,,,,,,,,,,
,1.34,0.0117,0.596,0.0000421,420.3532403,,,,,,,,,,,,,,,,,,,,
,1.345,0.0116,0.607,0.0000432,435.9715171,,,,,,,,,,,,,,,,,,,,
,1.346,0.0115,0.609,0.0000434,439.2428361,,,,,,,,,,,,,,,,,,,,
,1.347,0.0116,0.603,0.0000431,431.3971455,,,,,,,,,,,,,,,,,,,,
,1.35,0.0121,0.58,0.0000416,398.5638883,,,,,,,,,,,,,,,,,,,,
,1.353,0.0123,0.571,0.0000411,386.491708,,,,,,,,,,,,,,,,,,,,
,1.354,0.0123,0.573,0.0000413,388.3126043,,,,,,,,,,,,,,,,,,,,
,1.357,0.0123,0.577,0.0000418,394.0963008,,,,,,,,,,,,,,,,,,,,
,1.36,0.0122,0.581,0.0000423,400.15203,,,,,,,,,,,,,,,,,,,,
,1.362,0.0119,0.596,0.0000435,421.4010897,,,,,,,,,,,,,,,,,,,,
,1.3625,0.0119,0.595,0.0000435,419.9919124,,,,,,,,,,,,,,,,,,,,
,1.364,0.012,0.593,0.0000434,416.3860802,,,,,,,,,,,,,,,,,,,,
,1.365,0.012,0.591,0.0000433,413.864367,,,,,,,,,,,,,,,,,,,,
,1.367,0.0121,0.587,0.0000432,408.4834698,,,,,,,,,,,,,,,,,,,,
,1.368,0.0123,0.582,0.0000428,400.8601943,,,,,,,,,,,,,,,,,,,,
,1.37,0.0125,0.57,0.0000421,385.3726239,,,,,,,,,,,,,,,,,,,,
,1.374,0.0122,0.586,0.0000435,406.4120546,,,,,,,,,,,,,,,,,,,,
,1.377,0.0124,0.581,0.0000433,399.1955422,,,,,,,,,,,,,,,,,,,,
,1.38,0.0126,0.569,0.0000426,383.6741844,,,,,,,,,,,,,,,,,,,,
,1.387,0.0127,0.571,0.0000432,386.3281662,,,,,,,,,,,,,,,,,,,,
,1.3875,0.0127,0.571,0.0000432,385.7263965,,,,,,,,,,,,,,,,,,,,
,1.39,0.0128,0.567,0.0000431,380.850529,,,,,,,,,,,,,,,,,,,,
,1.393,0.0129,0.563,0.000043,375.3786346,,,,,,,,,,,,,,,,,,,,
,1.395,0.0133,0.547,0.0000419,354.2808395,,,,,,,,,,,,,,,,,,,,
,1.397,0.013,0.558,0.0000428,368.7672172,,,,,,,,,,,,,,,,,,,,
,1.3995,0.0134,0.544,0.0000419,351.0869105,,,,,,,,,,,,,,,,,,,,
,1.4,0.0135,0.542,0.0000418,348.5034503,,,,,,,,,,,,,,,,,,,,
,1.403,0.0131,0.56,0.0000433,371.2575559,,,,,,,,,,,,,,,,,,,,
,1.4125,0.0129,0.569,0.0000446,383.411744,,,,,,,,,,,,,,,,,,,,
,1.42,0.0131,0.567,0.000045,380.8331923,,,,,,,,,,,,,,,,,,,,
,1.425,0.0129,0.576,0.000046,392.5333647,,,,,,,,,,,,,,,,,,,,
,1.4375,0.0127,0.59,0.0000479,412.2153291,,,,,,,,,,,,,,,,,,,,
,1.44,0.0128,0.584,0.0000476,404.0311779,,,,,,,,,,,,,,,,,,,,
,1.441,0.0134,0.561,0.0000458,372.1771432,,,,,,,,,,,,,,,,,,,,
,1.45,0.0134,0.563,0.0000465,375.2686882,,,,,,,,,,,,,,,,,,,,
,1.46,0.0141,0.54,0.0000453,345.6643039,,,,,,,,,,,,,,,,,,,,
,1.4625,0.0142,0.535,0.000045,338.9597124,,,,,,,,,,,,,,,,,,,,
,1.475,0.0152,0.505,0.0000432,301.9529838,,,,,,,,,,,,,,,,,,,,
,1.48,0.0156,0.494,0.0000425,288.8305753,,,,,,,,,,,,,,,,,,,,
,1.4875,0.0159,0.486,0.0000423,280.2224005,,,,,,,,,,,,,,,,,,,,
,1.49,0.0162,0.48,0.0000419,272.9630567,,,,,,,,,,,,,,,,,,,,
,1.491,0.0163,0.478,0.0000418,270.1747385,,,,,,,,,,,,,,,,,,,,
,1.4995,0.0166,0.472,0.0000417,263.7147298,,,,,,,,,,,,,,,,,,,,
,1.5,0.0166,0.472,0.0000417,263.3218045,,,,,,,,,,,,,,,,,,,,
,1.505,0.0165,0.476,0.0000424,268.257351,,,,,,,,,,,,,,,,,,,,
,1.5125,0.0165,0.478,0.000043,270.7481786,,,,,,,,,,,,,,,,,,,,
,1.5245,0.0168,0.474,0.0000433,266.223636,,,,,,,,,,,,,,,,,,,,
,1.525,0.0168,0.474,0.0000434,266.0456165,,,,,,,,,,,,,,,,,,,,
,1.53,0.0168,0.474,0.0000436,265.7117035,,,,,,,,,,,,,,,,,,,,
,1.5375,0.0169,0.473,0.000044,265.1530128,,,,,,,,,,,,,,,,,,,,
,1.54,0.017,0.472,0.000044,263.4107396,,,,,,,,,,,,,,,,,,,,
,1.55,0.0174,0.465,0.000044,256.6057421,,,,,,,,,,,,,,,,,,,,
,1.56,0.0176,0.463,0.0000443,253.3671356,,,,,,,,,,,,,,,,,,,,
,1.5625,0.0173,0.47,0.0000451,261.4945236,,,,,,,,,,,,,,,,,,,,
,1.57,0.0175,0.468,0.0000454,259.9254757,,,,,,,,,,,,,,,,,,,,
,1.5745,0.0175,0.468,0.0000456,259.1478424,,,,,,,,,,,,,,,,,,,,
,1.575,0.0176,0.468,0.0000456,259.0568069,,,,,,,,,,,,,,,,,,,,
,1.58,0.0178,0.464,0.0000455,254.5165382,,,,,,,,,,,,,,,,,,,,
,1.5875,0.018,0.46,0.0000456,250.7802933,,,,,,,,,,,,,,,,,,,,
,1.5895,0.0182,0.456,0.0000454,246.5208945,,,,,,,,,,,,,,,,,,,,
,1.59,0.0182,0.455,0.0000453,245.4959117,,,,,,,,,,,,,,,,,,,,
,1.6,0.0185,0.45,0.0000454,240.1118744,,,,,,,,,,,,,,,,,,,,
,1.6065,0.0184,0.454,0.0000461,243.9683884,,,,,,,,,,,,,,,,,,,,
,1.61,0.0184,0.455,0.0000465,245.6795402,,,,,,,,,,,,,,,,,,,,
,1.612,0.0184,0.456,0.0000467,246.6881163,,,,,,,,,,,,,,,,,,,,
,1.6125,0.0184,0.457,0.0000467,247.124299,,,,,,,,,,,,,,,,,,,,
,1.62,0.0187,0.452,0.0000467,241.7049224,,,,,,,,,,,,,,,,,,,,
,1.625,0.0185,0.458,0.0000476,248.0332762,,,,,,,,,,,,,,,,,,,,
,1.63,0.0189,0.449,0.000047,239.010191,,,,,,,,,,,,,,,,,,,,
,1.633,0.0191,0.445,0.0000466,233.9882681,,,,,,,,,,,,,,,,,,,,
,1.637,0.0194,0.439,0.0000463,227.9870291,,,,,,,,,,,,,,,,,,,,
